"id"	"hr"	"datetime"	"time"	"trl_no"	"blk_no"	"cd_so"	"cd_fr"	"img"	"rslt"	"rate"	"rt"	"r_ans"	"angle"	"end_spin"	"t_now"	"AQ"	"TAS"	"DDF"	"DIF"	"EOT"	"EC"	"PT"	"TheOutcome"	"Gain"	"PE"
"99"	"09_A"	80	"31-May-2019 11:24:57"	14614.401	99	17	2	2	"wheel_12"	"1"	66.4835	1454.1352	1	811.461	90	14620.8087	23	51	14	18	19	17	15	1.67	5	3.33
"100"	"09_A"	80	"31-May-2019 11:25:07"	14624.3635	100	17	2	2	"wheel_08"	"1"	69.7802	3550.6465	1	790.612	72	14632.8732	23	51	14	18	19	17	15	0	5	5
"101"	"09_A"	80	"31-May-2019 11:25:16"	14634.3314	101	17	2	2	"wheel_07"	"3"	50	2170.8854	1	1002.1204	270	14641.4602	23	51	14	18	19	17	15	0.83	0	-0.83
"102"	"09_A"	80	"31-May-2019 11:25:27"	14645.2942	102	17	2	2	"wheel_01"	"3"	47.619	2998.8756	1	806.5595	72	14653.2797	23	51	14	18	19	17	15	-1	0	1
"103"	"09_A"	80	"31-May-2019 11:25:42"	14659.5827	103	18	1	2	"wheel_01"	"1"	71.6117	2571.2333	1	886.7806	180	14667.1595	23	51	14	18	19	17	15	-1	5	6
"104"	"09_A"	80	"31-May-2019 11:25:52"	14669.5413	104	18	1	2	"wheel_02"	"2"	46.337	5016.838	0	966.3707	252	14679.5128	23	51	14	18	19	17	15	-2	-5	-3
"105"	"09_A"	80	"31-May-2019 11:26:02"	14679.5309	105	18	1	2	"wheel_05"	"2"	31.8681	4742.9983	1	1030.562	324	14689.2293	23	51	14	18	19	17	15	0	-5	-5
"106"	"09_A"	80	"31-May-2019 11:26:12"	14689.4894	106	18	1	2	"wheel_07"	"1"	59.3407	3375.7375	1	827.6083	120	14697.8547	23	51	14	18	19	17	15	0.83	5	4.17
"107"	"09_A"	80	"31-May-2019 11:26:22"	14699.4528	107	18	1	2	"wheel_04"	"1"	62.2711	4746.8651	1	1008.4132	300	14709.2042	23	51	14	18	19	17	15	-0.83	5	5.83
"108"	"09_A"	80	"31-May-2019 11:26:33"	14710.422	108	18	1	2	"wheel_03"	"3"	43.0403	4602.0624	1	956.1709	240	14720.0056	23	51	14	18	19	17	15	-1.67	0	1.67
"109"	"09_A"	80	"31-May-2019 11:26:47"	14724.7095	109	19	2	1	"wheel_06"	"1"	72.7106	2434.0186	1	762.9419	30	14732.1082	23	51	14	18	19	17	15	-0.83	5	5.83
